ID,Post_num,Followers
z.e.o.m,236.0,8603.0
foodgangster_fgg,128.0,3360.0
bboong_bbang_2,741.0,6928.0
dhrkspths,2178.0,27000.0
a_a_bl0s2om,606.0,1020.0
yeony_matzipsa,223.0,8787.0
cookat.magazine,5861.0,1311000.0
wooo_new,395.0,19000.0
matport_,379.0,44000.0
sun_star520,538.0,251.0
kysnara_,124.0,1264.0
carl_bizarre_foodventures,2352.0,663.0
friendlyleung,5877.0,1717.0
eun_y_park,152.0,333.0
helth_bruni,23.0,256.0
a_stamoon,9.0,53.0
e.cla.tant__bob,235.0,146.0
what___we__eat,190.0,26.0
joshell,113.0,658.0
zzam583,137.0,65.0
food_developer_raymond10,0.0,0.0
tooooo__eat,1017.0,2662.0
jndara_tasty,57.0,48.0
naturalchicken420,7.0,50.0
woonkim_official,168.0,485.0
honeyfunny_cook,753.0,881.0
mukjasa._.03,255.0,1793.0
rkqdyd96,194.0,1117.0
jangjieun437,764.0,740.0
haina__kim,574.0,800.0
hireme.plz,67.0,245.0
j.nghwan,381.0,273.0
minchelin__guide,508.0,925.0
dorimin_kk,1051.0,1428.0
raphael.hj,64.0,30.0
vorah_de,104.0,3355.0
masitdda_o,93.0,1001.0
sop99275,10.0,0.0
danbaek_hanbom,387.0,588.0
soddong_00,436.0,270.0
lee.jun.sang,101.0,78.0
han.dong.min,1457.0,344.0
everyday.chickenday,537.0,782.0
seahzzang,1659.0,7177.0
pit_a_pat_story_,597.0,3302.0
smi__le94,965.0,4666.0
eun_kyung929,853.0,533.0
yeonrm,872.0,1445.0
_98685269,5.0,5.0
hello.hangoon,871.0,938.0
meokksta,1196.0,305.0
kokoeee93,694.0,138.0
hongdaemon,291.0,660.0
mukja.bom,21.0,1320.0
bluefree1004,2855.0,2132.0
francken_sinwol,17.0,34.0
tasty_diet_247,43.0,20.0
lovesym1004,2516.0,1570.0
qtg_x,7.0,37.0
kk__w__,24.0,530.0
momong_09,54.0,17.0
mukguu_,43.0,3507.0
tj_juri._.513,244.0,2721.0
mwonday,162.0,55.0
love.like.food,3.0,0.0
grace_605,267.0,785.0
evergreen515,3370.0,1321.0
heart_eunju,83.0,608.0
the_rem_d,2395.0,1005.0
korea_cafe_01,49.0,2365.0
fun_inseoul,182.0,1243.0
wagu_wagu_22,8.0,191.0
studio_mildo,392.0,5195.0
yelinkoo,3756.0,3923.0
purple__table,44.0,569.0
soot__yang,1125.0,1196.0
khs0901041314,1337.0,1588.0
riris_kj,352.0,294.0
soodaeng_ing,52.0,93.0
chickenmaru_boryeong,233.0,808.0
sixchicken6_6,618.0,391.0
hong_hong_90,375.0,113.0
hjm10291,1965.0,1377.0
yoonstar_food,22.0,94.0
lhj860402,237.0,197.0
kkunmil,5.0,12.0
curumi_,145.0,228.0
crescendog01,417.0,1946.0
seongeun0114,1259.0,736.0
mufffine,311.0,5460.0
meow_ricchi,25.0,113.0
chani58ya,1223.0,1654.0
skaxo2950,129.0,720.0
car01049107654,716.0,617.0
o_ssu_55,325.0,651.0
yumyum__story_,629.0,336.0
dleee789,99.0,198.0
lee_dong_hoon1981,3449.0,5357.0
jinju_pi9,493.0,943.0
jmtmjo1999,418.0,947.0
s2_dailyfood,0.0,0.0
jellysoda_,221.0,191.0
f_diary95,33.0,806.0
heejin_nikoniko,540.0,95.0
seonhyi9049,30.0,8.0
fedcook_hhj,548.0,1533.0
gimdongju30,36.0,6.0
chpark75,36.0,7.0
_h___s2___mi_,899.0,2523.0
jwan_lee.09,203.0,462.0
kisu.eat,386.0,22000.0
minbong2486,36.0,2.0
riskertv,188.0,133.0
lovekimkong,907.0,1084.0
kaeul15,646.0,956.0
beombeer_us,61.0,1177.0
daily_yori_,8.0,13.0
naju_beerhouse,6.0,49.0
mukpiggram,103.0,863.0
uujay_,54.0,162.0
bia_sori9383,383.0,156.0
edmondfugler0170139,78.0,0.0
uniribbon_uni_seo,7379.0,4131.0
dany_sports___,441.0,361.0
run.1217,262.0,2054.0
ccocco153,30.0,15.0
donsanam_,350.0,10000.0
cmsoonkr,36.0,11.0
hyeongryeol.jo,0.0,0.0
sangmin_jjin,36.0,12.0
mk6838mk,2628.0,2747.0
issuki81,36.0,9.0
bysorh,36.0,21.0
balloonfriends_toon,120.0,1268.0
jiji.o00o,3.0,12.0
nahoseon,45.0,20.0
chaei_dolphin,786.0,6833.0
___foodtour,495.0,48000.0
flux1995,102.0,814.0
kimju1657,347.0,145.0
beatles1356,131.0,74.0
suu.nn7,65.0,1474.0
lee_hee_94,123.0,455.0
elmarpension,140.0,119.0
sjonnuri_middle,7.0,6.0
z._eonyy,5.0,1.0
pey202200,27.0,22.0
yong_daily_,35.0,75.0
kko.bi1225,727.0,348.0
bongachi,1635.0,339.0
ji.____won,86.0,102.0
say__chacha,241.0,221.0
dekoz,1452.0,201.0
eumsikenjoy,30.0,73.0
momstouch_seokdong,116.0,379.0
kimstar.sasu,360.0,345.0
a1004109,45.0,18.0
yongsun76,1062.0,1093.0
rlatjdxor0612,45.0,12.0
hanii_jun2,2218.0,586.0
eoieo1001,45.0,100.0
pi___g,151.0,3542.0
jiho0824,2613.0,4528.0
ljhljhmom86,547.0,233.0
wook_____l,32.0,473.0
mukkott_list,32.0,863.0
bom.yul_mom,1207.0,5282.0
peanut_rw,32.0,41.0
s_soldy_,450.0,1210.0
0rbbang,785.0,3230.0
friendly_hoya,2594.0,2022.0
man._.do__,11.0,32.0
s.oo_s2_,46.0,30.0
belenperlas,104.0,2033.0
youms77,861.0,302.0
yoonjjeongss__,2196.0,1101.0
joewhite5420,2808.0,5895.0
wlsdn1777,23.0,66.0
minaalperin,77.0,2.0
jang_ej523,8.0,68.0
yangju_myeongga_chicken,4.0,30.0
jinhojinho2015,352.0,257.0
todays._.danvi,4.0,6.0
twigidak,46.0,653.0
moonchelin.chef,1239.0,28000.0
min_ji_taste,189.0,1375.0
teeyou66,67.0,73.0
jang_music,927.0,143.0
ttchicken_purple_gguggu,87.0,50.0
beo_m__,661.0,1327.0
otschicken_official,240.0,1604.0
ong_nongnyong,46.0,1009.0
dlssud911,55.0,223.0
gaebobjangsu.tacone,687.0,2153.0
naa.nya_,225.0,350.0
sso_eul_taste,234.0,4718.0
0nullnu0,819.0,6901.0
ch_ooha_taste,260.0,3587.0
yo_onchae_taste,320.0,4127.0
mephisto_pub,13.0,502.0
chae_yul_taste,417.0,3523.0
rr_aon_taste,250.0,2303.0
na_siiver_taste,266.0,1795.0
syh0079,22.0,210.0
chae_ah_taste,266.0,2791.0
jji_siiver_taste,324.0,2761.0
taerin_taste,312.0,2623.0
hyobin_taste,324.0,2485.0
babequechikin_official,36.0,54.0
muk_saebyeok,330.0,2698.0
muk_danbi,270.0,2932.0
bodle._.love,71.0,224.0
muk_hyeonji,259.0,2768.0
muk_soomin,305.0,2774.0
muk_minyeong,350.0,3604.0
muk_sohui,356.0,3816.0
muk_minnnji,331.0,3056.0
so_sik_life,389.0,702.0
muk_sseulgi,329.0,3688.0
muk_sumin,342.0,3428.0
muk_ssuumi,354.0,3520.0
zzaq21,132.0,2057.0
0zzine__idus8,1441.0,1463.0
meatkit_special_list,88.0,95.0
taishi_ci78,1815.0,266.0
masitakini,11.0,457.0
muk_ahyeon,336.0,3520.0
djo_onp,359.0,359.0
soyi0603,10.0,63.0
ted_comic,7461.0,57000.0
_l.o.v.e.y.u.l_,5.0,2.0
modernvape_,9311.0,11000.0
langdy_english,192.0,9691.0
nal_s9,231.0,665.0
chiu_on,529.0,71.0
eumapping,136.0,293.0
bluehyeon,93.0,77.0
mic.hellechapman42,92.0,36.0
myungmomukg,20.0,207.0
sokchogram,649.0,15000.0
dong_hee__98,165.0,5287.0
hello_happy6060,71.0,15.0
rtest.s001,383.0,280.0
ansan_elec_chicken,297.0,422.0
chickenssam,256.0,910.0
ace_g_ii,22.0,19.0
jooeuna,8314.0,3739.0
hyuck.ing_work.ing,120.0,57.0
vivianbon00,277.0,126.0
so___mong,117.0,2103.0
wjddms9187,35.0,188.0
jjunana93,624.0,410.0
bb_food.90,120.0,96.0
namhaeorganic,1718.0,8393.0
cooktracha,226.0,1450.0
heeseon__choi,1217.0,3593.0
yum2_yom2,80.0,588.0
naedak_official,38.0,176.0
jihyeon._.2011,2.0,17.0
channelj,1558.0,3520.0
bbq_offi,139.0,15000.0
hmj88088,66.0,957.0
all.about.20s,18000.0,429000.0
jumodukeombain,96.0,16.0
h.baek.04,277.0,117.0
babeq8000,82.0,55.0
bibiananzhai,219.0,118.0
yamigani,507.0,772.0
official_ippo,21.0,518.0
tupacaef532,9.0,1.0
illu_cafeteria,1042.0,4032.0
wanggiyomi,348.0,87.0
love__hj486,1900.0,226.0
lyn264,733.0,76.0
geumdukchun,0.0,0.0
hanna_sewang,2187.0,474.0
ibbeunmom,55.0,93.0
yeonmi9842,1169.0,695.0
nvjenny,5215.0,2717.0
chickenman_kiyoung,59.0,2194.0
park_riha,83.0,9512.0
mommy_banchan,265.0,52.0
yogocham_official,40.0,4161.0
ddchicken_official,516.0,1842.0
horigarden,4460.0,385.0
bhc_chicken_official,402.0,37000.0
j_______hye_,949.0,692.0
galileevan,954.0,337.0
capjjang_humor,183.0,1290.0
mkc0545591112,344.0,1391.0
5m_0gam_,4327.0,5734.0
meok_sajin,9.0,119.0
11jjs,4863.0,4949.0
aeiherumuh_ye,248.0,308.0
snwhmz,279.0,3855.0
60gye_dongyang,362.0,167.0
cookie_ming_,22.0,5.0
norangtongdak486,648.0,14000.0
cheolin7_cw,71.0,68.0
mrpizzalove,1562.0,29000.0
shingun85,2743.0,723.0
vodeullee4,943.0,2979.0
gwag_91,0.0,0.0
brunchbean_,304.0,3692.0
39_diet_,75.0,61.0
nene_gogang2511,2872.0,793.0
sys6457,1254.0,2159.0
noyucan68,3.0,51.0
jungeoli29,4.0,0.0
mj.cant.stop.eating,14.0,17.0
soleilnsun,5.0,1.0
tomeatsseoul,471.0,2515.0
kim_suho_55,7.0,1053.0
_syndrome___,0.0,0.0
ansoyeon336,4.0,1.0
sy486512__,1701.0,1407.0
hoolala_official,764.0,103000.0
fearlessclaymore,223.0,330.0
reissu_official,126.0,155.0
fightforvanzant,761.0,2856.0
happyinforforu,4.0,15.0
kiminae8106,68.0,67.0
woo_5208,64.0,34.0
abyss_taptap,35.0,714.0
munkyoung7384,617.0,5509.0
matthiashaase1973,147.0,112.0
arnlaugwranran,0.0,0.0
millef_aracely_asia436,15.0,3.0
iamnaturalchicken,71.0,104.0
mida__daily,473.0,1983.0
food_onesnap,46.0,1.0
trabbk,165.0,962.0
kanghi0812,33.0,1.0
rofellros,1624.0,1516.0
kimheejinz2018,33.0,7.0
jy6550,33.0,7.0
kbjeong7,33.0,7.0
nuseol,33.0,23.0
nenechicken.shizuoka,231.0,528.0
khj2046819,114.0,18.0
busan_mukking,254.0,63.0
kiyoung2_ganeung,1.0,55.0
youll_lee,1030.0,373.0
ryan_mbox,95.0,103.0
namjuyeon885,85.0,75.0
dong_seok78,1372.0,10000.0
milebaci422,463.0,166.0
chipoleon_korea_univ,98.0,179.0
및,0.0,0.0
big_dumpling82,387.0,778.0
zz_muk2,442.0,7366.0
galimforest,241.0,76.0
heeju3067,168.0,45.0
lovely_arh,349.0,250.0
akgi_bari,41.0,697.0
k20037,33.0,7.0
hyejin.heo,33.0,0.0
jssh0527,33.0,2.0
khlim71,33.0,19.0
yunjiyeon866,33.0,4.0
khszza2019,33.0,2.0
leejs523,33.0,3.0
judo1126,33.0,3.0
i_willdiveintoyou,99.0,604.0
24x79_,78.0,28.0
danmilovepocha_amemura,25.0,5746.0
eunji9526,10.0,99.0
moonroof2,1784.0,1526.0
junio24_green,4.0,9.0
naanalnary,3259.0,343.0
gudoro_gwangju,18.0,142.0
hkchan_s,275.0,201.0
nenechicken_official,831.0,11000.0
gpwjd4793,59.0,803.0
danmired_shinsaibashi,277.0,1751.0
js2dak,443.0,4113.0
7r__rin,459.0,1486.0
dmatlrtkwls03,30.0,21.0
osushiyacafe_sushiyoshi,700.0,2943.0
p.affection_bean,69.0,137.0
leekyung94,95.0,1038.0
haaaam_yumm,63.0,979.0
jungang.dakgangjeong,91.0,805.0
ralra_ralran,356.0,5048.0
klein_camp_,116.0,1142.0
heeda_iphone_snap,50.0,77.0
kwwa_official,394.0,1955.0
bbong1371,296.0,287.0
cheung_na_koreanrestaurant,164.0,380.0
_m2_ymym,14.0,4.0
23x81_,0.0,0.0
won_gangjung,15.0,94.0
youbee223300,3063.0,5461.0
matzip_go,33.0,428.0
eating_dm,13.0,217.0
93o315,3163.0,2379.0
vinu_muklife,11.0,607.0
eunsil7913,171.0,202.0
sooyjooh,225.0,940.0
yakodak_gangdong,30.0,63.0
_bbasha__,524.0,250.0
_ram_rammy,1098.0,365.0
sushi__gram,194.0,124.0
dure_pack,238.0,126.0
y___y__h___,801.0,108.0
lee.y.r80,287.0,219.0
insaeng_domae,22.0,57.0
bullstopokki,603.0,3627.0
jimseungsu,924.0,1206.0
insaeng_domae1,25.0,69.0
u_rin1115,707.0,617.0
insaeng_domae0,37.0,25.0
min_kyung0325,1503.0,5287.0
c._.min_n,42.0,44.0
bizhows,374.0,9367.0
insaeng_domae2,20.0,70.0
insaeng_domae3,25.0,41.0
cccv.official,128.0,2358.0
gdwinproz,1160.0,1229.0
bab_tongmon,183.0,69.0
misakiakazawa,210.0,130.0
macaroni486,1044.0,2209.0
cafe_seonbiflower,566.0,1414.0
niconico.rin_chan,32.0,21.0
dr.jibbob,107.0,62.0
xxmami916,1811.0,1608.0
sujin.tnwls,53.0,839.0
bullader_official,94.0,90.0
miniiliving,993.0,19000.0
soonsoo_it.s_cheoingu,87.0,652.0
lucky2u_kr,161.0,236.0
dackjang_beer,43.0,176.0
muckzam.zam,1111.0,50000.0
gamachi_official,183.0,13000.0
entry_jeong,2187.0,2869.0
iris_reca,178.0,659.0
weekjong,1461.0,12000.0
daily_mealee89,463.0,258.0
boseong_green.tea,12.0,0.0
maron.ela,0.0,0.0
loveoldthing,16.0,6.0
roki_ma23_222222,3.0,30.0
hakko_mom,1246.0,34000.0
ddochi9326,78.0,29.0
unike807,126.0,149.0
deliciousday365,107.0,67.0
dajin919_,12000.0,5987.0
kim89q,561.0,849.0
sos_0822,6175.0,4784.0
suchanglee2019,7669.0,8863.0
m1_sso,178.0,161.0
mobin.inc20,117.0,75.0
yess3133,631.0,1289.0
moo_n102909,4.0,64.0
___mm217___,8.0,3.0
sevengrams__,68.0,3443.0
hungry_jjanggu,4.0,3.0
_mijin__s2,211.0,584.0
kkkkkkkd_y,8.0,355.0
lee_ruda1,608.0,1401.0
jnhuikim0320__,842.0,788.0
food.makes.woman,77.0,1003.0
kxexxj___,2928.0,4163.0
alachi_3231715,17.0,139.0
kimtaehee4867,647.0,325.0
herolee0408,13.0,191.0
star_t_15,8.0,2.0
hyun_mi_0117,2295.0,438.0
new.spring77,4346.0,2161.0
nam_0574,4.0,2.0
j__daily_w,50.0,59.0
romantico_food,28.0,855.0
rephoter,182.0,2644.0
water_plzzz,20.0,51.0
mat_eat_dang,27.0,64.0
kimgabsu.mobin48,104.0,59.0
iam.jmmmmm,60.0,0.0
aram_030,232.0,275.0
soo_feely_04_,595.0,1063.0
geniek._.luv,128.0,20.0
nurida.yul,1106.0,1303.0
mowglimj,565.0,270.0
joyfooood,143.0,22.0
lovely_un2,118.0,6938.0
kys_1217,725.0,303.0
qkrxthwjd,1449.0,854.0
papaf_arm,2.0,25.0
k_youngeui,43.0,23.0
effervescent_daffodil,3.0,0.0
sasunnygs2,362.0,1175.0
baebully_sh,151.0,962.0
doidoi_eat,49.0,29.0
bissilent_heon,25.0,96.0
baeboorgae,8.0,389.0
qakjaehyeon,13000.0,5252.0
namamugi321,328.0,22.0
79you,2910.0,2821.0
imkjh578,89.0,2777.0
evetest1,544.0,75.0
oneul_do_eat,557.0,2420.0
nz_originy,2683.0,875.0
kimbi_160430,145.0,302.0
parkyoon_ha,172.0,956.0
weonjongmin7,524.0,1750.0
i__luv_juha,1516.0,1009.0
jj_asty,1.0,5.0
juyum._.e,6.0,289.0
yeonggeun7430,234.0,293.0
oik_k,2410.0,1679.0
danmiterrace_shinsaibashi,302.0,3427.0
1.double2.9,334.0,214.0
masonlloll,105.0,19.0
ahyunny,2812.0,662.0
gongbok_menu,247.0,2563.0
luxury496593,669.0,931.0
food_of_loopy,109.0,7338.0
hskim2311,35.0,23.0
sunhyoung_817,986.0,457.0
speedforever05,3294.0,1490.0
hkhoboeats,219.0,408.0
purple_c_h_a,140.0,40.0
skyborip,791.0,763.0
_alcoholstagram_,8.0,2.0
93idaily,346.0,1157.0
shino00135,286.0,286.0
annie.cho0223,1171.0,1094.0
foodsun79,36.0,203.0
kyeongchelin_food,199.0,886.0
simmansu0820,952.0,490.0
seok_yummy,274.0,196.0
i_m_banjjacki,1116.0,1072.0
anapudang,5055.0,1599.0
ssaranghae_u,2472.0,71000.0
yangjeongsuk1,1145.0,2293.0
hyenniezz,847.0,164.0
kokuma72,5457.0,520.0
ujujuj_1,8.0,11.0
ipark101,1722.0,435.0
luv_pppppz,205.0,6797.0
julieday__,147.0,46.0
mukmukzoa,17.0,1036.0
yumyum_goooooood,10.0,14.0
yxmmyxx,177.0,393.0
moriarty.j.t,118.0,137.0
tae_hyun__chaos,2828.0,5030.0
felix.kimsungmai,32.0,122.0
ksapys12,115.0,1059.0
eat.y.vely,34.0,3414.0
wonvely_foodie,1675.0,2201.0
francken.co.kr,72.0,1716.0
favoritefolder,1158.0,825.0
rabbit10002,24000.0,2380.0
go_sh95,178.0,180.0
ssoyamm__,560.0,3208.0
run3202,508.0,174.0
ggemme86,759.0,85.0
nari8207,974.0,649.0
cayeongmi9,492.0,6060.0
sung_jineee,821.0,896.0
mukxxo,434.0,6102.0
gae_mukk,264.0,212.0
te8900te,10000.0,3376.0
park_chani,1100.0,3776.0
lovely_jinny0826,320.0,150.0
luv.myeun,363.0,1335.0
_zzong_h,2340.0,507.0
ddoong_jinew,323.0,423.0
bbo_ddo7160,171.0,193.0
shrimp_s2,43.0,2189.0
a_yoon.mm,300.0,49.0
buyoung_,12000.0,13000.0
jlnsook7,64.0,29.0
a_local_flood,50.0,40.0
sssuunnnnnn,473.0,654.0
sinsadong.pocha.hk,97.0,1345.0
hoonchef2017,338.0,1033.0
amajungkr,510.0,910.0
hyejinni24,3094.0,1502.0
zorini.yorini,52.0,374.0
angocat_0070,157.0,2170.0
kenkun_shu,345.0,239.0
ssseul_l,609.0,667.0
9697s_2,621.0,131.0
jeanieseong,128.0,144.0
